text,label
"I feel hopeless and sad every day. Nothing interests me anymore.",depression
"I constantly worry about everything and cannot relax.",anxiety
"My thoughts race and I struggle to focus on tasks.",adhd
"I have intense mood swings and unpredictable energy levels.",bipolar
"I relive traumatic experiences and get flashbacks.",ptsd
"I feel normal and emotionally stable.",control
"I am tired all the time and feel worthless.",depression
"I overthink every situation and panic frequently.",anxiety
"I get distracted easily and forget things often.",adhd
"My mood changes drastically within short periods.",bipolar
"I avoid situations that remind me of past trauma.",ptsd
"I maintain healthy routines and feel balanced.",control
